threshold,baks,baus,geometric_mean
0.1,0.1215,0.4572,0.2357
0.1163,0.1377,0.3809,0.229
0.1327,0.1511,0.3077,0.2156
0.149,0.162,0.2444,0.199
0.1653,0.1735,0.1885,0.1808
0.1816,0.1816,0.1447,0.1621
0.198,0.1884,0.1089,0.1432
0.2143,0.1934,0.082,0.1259
0.2306,0.1973,0.0621,0.1107
0.2469,0.2018,0.0476,0.098
0.2633,0.2043,0.0366,0.0865
0.2796,0.2051,0.0276,0.0752
0.2959,0.2077,0.0211,0.0662
0.3122,0.2085,0.0162,0.0581
0.3286,0.2091,0.0118,0.0497
0.3449,0.2096,0.009,0.0434
0.3612,0.2105,0.0065,0.037
0.3776,0.2107,0.0046,0.0311
0.3939,0.211,0.0035,0.0272
0.4102,0.2116,0.0025,0.023
0.4265,0.2116,0.0016,0.0184
0.4429,0.2119,0.001,0.0146
0.4592,0.2119,0.0004,0.0092
0.4755,0.2119,0.0002,0.0065
0.4918,0.2119,0.0001,0.0046
0.5082,0.2119,0.0,0.0
0.5245,0.2119,0.0,0.0
0.5408,0.2119,0.0,0.0
0.5571,0.2119,0.0,0.0
0.5735,0.2119,0.0,0.0
0.5898,0.2119,0.0,0.0
0.6061,0.2119,0.0,0.0
0.6224,0.2119,0.0,0.0
0.6388,0.2119,0.0,0.0
0.6551,0.2119,0.0,0.0
0.6714,0.2119,0.0,0.0
0.6878,0.2119,0.0,0.0
0.7041,0.2119,0.0,0.0
0.7204,0.2119,0.0,0.0
0.7367,0.2119,0.0,0.0
0.7531,0.2119,0.0,0.0
0.7694,0.2119,0.0,0.0
0.7857,0.2119,0.0,0.0
0.802,0.2119,0.0,0.0
0.8184,0.2119,0.0,0.0
0.8347,0.2119,0.0,0.0
0.851,0.2119,0.0,0.0
0.8673,0.2119,0.0,0.0
0.8837,0.2119,0.0,0.0
0.9,0.2119,0.0,0.0
