threshold,baks,baus,geometric_mean
0.1,0.1047,0.4527,0.2177
0.1163,0.1201,0.3745,0.2121
0.1327,0.1343,0.3033,0.2018
0.149,0.1464,0.2385,0.1869
0.1653,0.1564,0.186,0.1706
0.1816,0.1657,0.145,0.155
0.198,0.1727,0.115,0.1409
0.2143,0.178,0.0902,0.1267
0.2306,0.1816,0.0712,0.1137
0.2469,0.1861,0.0565,0.1025
0.2633,0.1903,0.0454,0.0929
0.2796,0.1926,0.0347,0.0818
0.2959,0.1951,0.0273,0.073
0.3122,0.197,0.0205,0.0635
0.3286,0.1984,0.0154,0.0553
0.3449,0.1993,0.0112,0.0472
0.3612,0.1993,0.0076,0.0389
0.3776,0.1998,0.0052,0.0322
0.3939,0.2009,0.0033,0.0257
0.4102,0.2009,0.002,0.02
0.4265,0.2009,0.0012,0.0155
0.4429,0.2012,0.0007,0.0119
0.4592,0.2012,0.0004,0.009
0.4755,0.2015,0.0002,0.0063
0.4918,0.2015,0.0001,0.0045
0.5082,0.2015,0.0,0.0
0.5245,0.2015,0.0,0.0
0.5408,0.2015,0.0,0.0
0.5571,0.2015,0.0,0.0
0.5735,0.2015,0.0,0.0
0.5898,0.2015,0.0,0.0
0.6061,0.2015,0.0,0.0
0.6224,0.2015,0.0,0.0
0.6388,0.2015,0.0,0.0
0.6551,0.2015,0.0,0.0
0.6714,0.2015,0.0,0.0
0.6878,0.2015,0.0,0.0
0.7041,0.2015,0.0,0.0
0.7204,0.2015,0.0,0.0
0.7367,0.2015,0.0,0.0
0.7531,0.2015,0.0,0.0
0.7694,0.2015,0.0,0.0
0.7857,0.2015,0.0,0.0
0.802,0.2015,0.0,0.0
0.8184,0.2015,0.0,0.0
0.8347,0.2015,0.0,0.0
0.851,0.2015,0.0,0.0
0.8673,0.2015,0.0,0.0
0.8837,0.2015,0.0,0.0
0.9,0.2015,0.0,0.0
