threshold,baks,baus,geometric_mean
0.1,0.1477,0.3742,0.2351
0.1163,0.1651,0.3064,0.2249
0.1327,0.1847,0.2426,0.2117
0.149,0.2009,0.1912,0.196
0.1653,0.2087,0.1465,0.1749
0.1816,0.2199,0.1125,0.1573
0.198,0.2289,0.0858,0.1401
0.2143,0.2345,0.0648,0.1233
0.2306,0.2378,0.0496,0.1086
0.2469,0.2406,0.0367,0.094
0.2633,0.2429,0.0277,0.082
0.2796,0.244,0.0204,0.0706
0.2959,0.2451,0.0146,0.0598
0.3122,0.2462,0.0097,0.0489
0.3286,0.2468,0.0068,0.041
0.3449,0.2468,0.0049,0.0348
0.3612,0.2468,0.0032,0.0281
0.3776,0.2468,0.002,0.0222
0.3939,0.2468,0.0012,0.0172
0.4102,0.2468,0.0006,0.0122
0.4265,0.2468,0.0004,0.0099
0.4429,0.2468,0.0002,0.007
0.4592,0.2468,0.0,0.0
0.4755,0.2468,0.0,0.0
0.4918,0.2468,0.0,0.0
0.5082,0.2468,0.0,0.0
0.5245,0.2468,0.0,0.0
0.5408,0.2468,0.0,0.0
0.5571,0.2468,0.0,0.0
0.5735,0.2468,0.0,0.0
0.5898,0.2468,0.0,0.0
0.6061,0.2468,0.0,0.0
0.6224,0.2468,0.0,0.0
0.6388,0.2468,0.0,0.0
0.6551,0.2468,0.0,0.0
0.6714,0.2468,0.0,0.0
0.6878,0.2468,0.0,0.0
0.7041,0.2468,0.0,0.0
0.7204,0.2468,0.0,0.0
0.7367,0.2468,0.0,0.0
0.7531,0.2468,0.0,0.0
0.7694,0.2468,0.0,0.0
0.7857,0.2468,0.0,0.0
0.802,0.2468,0.0,0.0
0.8184,0.2468,0.0,0.0
0.8347,0.2468,0.0,0.0
0.851,0.2468,0.0,0.0
0.8673,0.2468,0.0,0.0
0.8837,0.2468,0.0,0.0
0.9,0.2468,0.0,0.0
