threshold,baks,baus,geometric_mean
0.1,0.1164,0.4437,0.2273
0.1163,0.136,0.3577,0.2206
0.1327,0.1528,0.2828,0.2079
0.149,0.1632,0.2222,0.1904
0.1653,0.1699,0.1786,0.1742
0.1816,0.1788,0.1395,0.1579
0.198,0.1839,0.1082,0.1411
0.2143,0.1909,0.0817,0.1249
0.2306,0.1931,0.0634,0.1106
0.2469,0.1967,0.0468,0.0959
0.2633,0.2001,0.0349,0.0836
0.2796,0.2026,0.0256,0.072
0.2959,0.2032,0.0185,0.0613
0.3122,0.2049,0.0129,0.0514
0.3286,0.2054,0.0094,0.0439
0.3449,0.2054,0.0065,0.0365
0.3612,0.2054,0.0038,0.0279
0.3776,0.206,0.0025,0.0227
0.3939,0.206,0.0013,0.0164
0.4102,0.206,0.0008,0.0128
0.4265,0.206,0.0006,0.0111
0.4429,0.206,0.0002,0.0064
0.4592,0.206,0.0001,0.0045
0.4755,0.206,0.0001,0.0045
0.4918,0.206,0.0001,0.0045
0.5082,0.206,0.0,0.0
0.5245,0.206,0.0,0.0
0.5408,0.206,0.0,0.0
0.5571,0.206,0.0,0.0
0.5735,0.206,0.0,0.0
0.5898,0.206,0.0,0.0
0.6061,0.206,0.0,0.0
0.6224,0.206,0.0,0.0
0.6388,0.206,0.0,0.0
0.6551,0.206,0.0,0.0
0.6714,0.206,0.0,0.0
0.6878,0.206,0.0,0.0
0.7041,0.206,0.0,0.0
0.7204,0.206,0.0,0.0
0.7367,0.206,0.0,0.0
0.7531,0.206,0.0,0.0
0.7694,0.206,0.0,0.0
0.7857,0.206,0.0,0.0
0.802,0.206,0.0,0.0
0.8184,0.206,0.0,0.0
0.8347,0.206,0.0,0.0
0.851,0.206,0.0,0.0
0.8673,0.206,0.0,0.0
0.8837,0.206,0.0,0.0
0.9,0.206,0.0,0.0
