threshold,baks,baus,geometric_mean
0.1,0.1421,0.4355,0.2488
0.1163,0.1567,0.3617,0.2381
0.1327,0.1707,0.2951,0.2244
0.149,0.1886,0.2382,0.212
0.1653,0.2037,0.191,0.1972
0.1816,0.2149,0.1508,0.18
0.198,0.2233,0.1186,0.1627
0.2143,0.2311,0.0924,0.1461
0.2306,0.2373,0.0714,0.1302
0.2469,0.2423,0.0543,0.1147
0.2633,0.2462,0.0401,0.0994
0.2796,0.2479,0.0307,0.0872
0.2959,0.2507,0.0225,0.0751
0.3122,0.2529,0.0173,0.0661
0.3286,0.2552,0.0132,0.058
0.3449,0.2557,0.01,0.0506
0.3612,0.2557,0.0066,0.0411
0.3776,0.2557,0.0049,0.0354
0.3939,0.2557,0.0033,0.029
0.4102,0.2569,0.0019,0.0221
0.4265,0.2569,0.0011,0.0168
0.4429,0.2569,0.0005,0.0113
0.4592,0.2569,0.0003,0.0088
0.4755,0.2569,0.0,0.0
0.4918,0.2569,0.0,0.0
0.5082,0.2569,0.0,0.0
0.5245,0.2569,0.0,0.0
0.5408,0.2569,0.0,0.0
0.5571,0.2569,0.0,0.0
0.5735,0.2569,0.0,0.0
0.5898,0.2569,0.0,0.0
0.6061,0.2569,0.0,0.0
0.6224,0.2569,0.0,0.0
0.6388,0.2569,0.0,0.0
0.6551,0.2569,0.0,0.0
0.6714,0.2569,0.0,0.0
0.6878,0.2569,0.0,0.0
0.7041,0.2569,0.0,0.0
0.7204,0.2569,0.0,0.0
0.7367,0.2569,0.0,0.0
0.7531,0.2569,0.0,0.0
0.7694,0.2569,0.0,0.0
0.7857,0.2569,0.0,0.0
0.802,0.2569,0.0,0.0
0.8184,0.2569,0.0,0.0
0.8347,0.2569,0.0,0.0
0.851,0.2569,0.0,0.0
0.8673,0.2569,0.0,0.0
0.8837,0.2569,0.0,0.0
0.9,0.2569,0.0,0.0
