threshold,baks,baus,geometric_mean
0.1,0.1231,0.5401,0.2578
0.1163,0.1371,0.4899,0.2592
0.1327,0.1466,0.4414,0.2544
0.149,0.1556,0.3996,0.2494
0.1653,0.1623,0.3577,0.2409
0.1816,0.1746,0.3223,0.2372
0.198,0.1824,0.2897,0.2299
0.2143,0.1858,0.2599,0.2197
0.2306,0.1925,0.2303,0.2106
0.2469,0.2009,0.2037,0.2023
0.2633,0.2076,0.1784,0.1924
0.2796,0.2143,0.1562,0.183
0.2959,0.2199,0.1342,0.1718
0.3122,0.2238,0.1143,0.1599
0.3286,0.2294,0.096,0.1484
0.3449,0.2322,0.0801,0.1364
0.3612,0.2373,0.0655,0.1247
0.3776,0.2406,0.0519,0.1117
0.3939,0.2423,0.0388,0.097
0.4102,0.2457,0.029,0.0844
0.4265,0.2507,0.0218,0.0739
0.4429,0.2518,0.0151,0.0617
0.4592,0.2518,0.0101,0.0504
0.4755,0.2524,0.0065,0.0405
0.4918,0.2524,0.0041,0.0322
0.5082,0.2529,0.0026,0.0256
0.5245,0.2529,0.0014,0.0188
0.5408,0.2529,0.0007,0.0133
0.5571,0.2529,0.0003,0.0087
0.5735,0.2529,0.0001,0.005
0.5898,0.2529,0.0,0.0
0.6061,0.2529,0.0,0.0
0.6224,0.2529,0.0,0.0
0.6388,0.2529,0.0,0.0
0.6551,0.2529,0.0,0.0
0.6714,0.2529,0.0,0.0
0.6878,0.2529,0.0,0.0
0.7041,0.2529,0.0,0.0
0.7204,0.2529,0.0,0.0
0.7367,0.2529,0.0,0.0
0.7531,0.2529,0.0,0.0
0.7694,0.2529,0.0,0.0
0.7857,0.2529,0.0,0.0
0.802,0.2529,0.0,0.0
0.8184,0.2529,0.0,0.0
0.8347,0.2529,0.0,0.0
0.851,0.2529,0.0,0.0
0.8673,0.2529,0.0,0.0
0.8837,0.2529,0.0,0.0
0.9,0.2529,0.0,0.0
