threshold,baks,baus,geometric_mean
0.1,0.1477,0.4422,0.2556
0.1163,0.1561,0.3887,0.2463
0.1327,0.1684,0.3429,0.2403
0.149,0.1807,0.2992,0.2325
0.1653,0.1897,0.262,0.2229
0.1816,0.197,0.2278,0.2118
0.198,0.2009,0.1966,0.1987
0.2143,0.2121,0.1684,0.189
0.2306,0.221,0.1426,0.1775
0.2469,0.2266,0.1189,0.1641
0.2633,0.2322,0.0974,0.1504
0.2796,0.2389,0.0792,0.1376
0.2959,0.244,0.0648,0.1257
0.3122,0.2479,0.0513,0.1128
0.3286,0.2513,0.0394,0.0995
0.3449,0.2541,0.03,0.0873
0.3612,0.2557,0.0224,0.0757
0.3776,0.2569,0.0163,0.0647
0.3939,0.2569,0.0116,0.0546
0.4102,0.2591,0.0076,0.0444
0.4265,0.2591,0.0057,0.0384
0.4429,0.2591,0.0034,0.0297
0.4592,0.2597,0.0023,0.0244
0.4755,0.2597,0.0013,0.0184
0.4918,0.2597,0.0008,0.0144
0.5082,0.2597,0.0004,0.0102
0.5245,0.2597,0.0001,0.0051
0.5408,0.2597,0.0,0.0
0.5571,0.2602,0.0,0.0
0.5735,0.2602,0.0,0.0
0.5898,0.2602,0.0,0.0
0.6061,0.2602,0.0,0.0
0.6224,0.2602,0.0,0.0
0.6388,0.2602,0.0,0.0
0.6551,0.2602,0.0,0.0
0.6714,0.2602,0.0,0.0
0.6878,0.2602,0.0,0.0
0.7041,0.2602,0.0,0.0
0.7204,0.2602,0.0,0.0
0.7367,0.2602,0.0,0.0
0.7531,0.2602,0.0,0.0
0.7694,0.2602,0.0,0.0
0.7857,0.2602,0.0,0.0
0.802,0.2602,0.0,0.0
0.8184,0.2602,0.0,0.0
0.8347,0.2602,0.0,0.0
0.851,0.2602,0.0,0.0
0.8673,0.2602,0.0,0.0
0.8837,0.2602,0.0,0.0
0.9,0.2602,0.0,0.0
