threshold,baks,baus,geometric_mean
0.1,0.0817,0.5781,0.2173
0.1163,0.0912,0.522,0.2182
0.1327,0.1061,0.4669,0.2226
0.149,0.1184,0.4157,0.2219
0.1653,0.1265,0.3702,0.2164
0.1816,0.1327,0.331,0.2096
0.198,0.1402,0.2946,0.2032
0.2143,0.1483,0.2639,0.1978
0.2306,0.1567,0.2336,0.1913
0.2469,0.162,0.2062,0.1828
0.2633,0.1682,0.1778,0.1729
0.2796,0.1738,0.1535,0.1633
0.2959,0.1788,0.1272,0.1508
0.3122,0.1842,0.1054,0.1393
0.3286,0.1895,0.0846,0.1266
0.3449,0.1942,0.0666,0.1137
0.3612,0.197,0.0512,0.1004
0.3776,0.1976,0.0387,0.0874
0.3939,0.199,0.0287,0.0756
0.4102,0.201,0.0205,0.0642
0.4265,0.2012,0.0146,0.0542
0.4429,0.2024,0.0109,0.047
0.4592,0.2029,0.0078,0.0398
0.4755,0.2029,0.0051,0.0322
0.4918,0.2032,0.0033,0.0259
0.5082,0.2035,0.002,0.0202
0.5245,0.2035,0.0012,0.0156
0.5408,0.2035,0.0006,0.011
0.5571,0.2035,0.0004,0.009
0.5735,0.2035,0.0003,0.0078
0.5898,0.2035,0.0,0.0
0.6061,0.2035,0.0,0.0
0.6224,0.2035,0.0,0.0
0.6388,0.2035,0.0,0.0
0.6551,0.2035,0.0,0.0
0.6714,0.2035,0.0,0.0
0.6878,0.2035,0.0,0.0
0.7041,0.2035,0.0,0.0
0.7204,0.2035,0.0,0.0
0.7367,0.2035,0.0,0.0
0.7531,0.2035,0.0,0.0
0.7694,0.2035,0.0,0.0
0.7857,0.2035,0.0,0.0
0.802,0.2035,0.0,0.0
0.8184,0.2035,0.0,0.0
0.8347,0.2035,0.0,0.0
0.851,0.2035,0.0,0.0
0.8673,0.2035,0.0,0.0
0.8837,0.2035,0.0,0.0
0.9,0.2035,0.0,0.0
