threshold,baks,baus,geometric_mean
0.1,0.047,0.8021,0.1942
0.1163,0.0532,0.7728,0.2028
0.1327,0.0632,0.7429,0.2167
0.149,0.0677,0.7144,0.2199
0.1653,0.0761,0.6869,0.2286
0.1816,0.0856,0.6597,0.2376
0.198,0.0951,0.6348,0.2457
0.2143,0.1046,0.6088,0.2523
0.2306,0.1102,0.5802,0.2529
0.2469,0.117,0.5536,0.2545
0.2633,0.1226,0.5263,0.254
0.2796,0.1315,0.4979,0.2559
0.2959,0.1405,0.4687,0.2566
0.3122,0.1483,0.4386,0.255
0.3286,0.1522,0.4099,0.2498
0.3449,0.1578,0.3811,0.2452
0.3612,0.1617,0.3538,0.2392
0.3776,0.169,0.3242,0.2341
0.3939,0.1735,0.2986,0.2276
0.4102,0.1796,0.2706,0.2205
0.4265,0.1858,0.2447,0.2132
0.4429,0.1891,0.2206,0.2042
0.4592,0.1953,0.1971,0.1962
0.4755,0.202,0.1761,0.1886
0.4918,0.2065,0.1544,0.1786
0.5082,0.2115,0.1346,0.1687
0.5245,0.2205,0.1174,0.1609
0.5408,0.2238,0.0994,0.1491
0.5571,0.2266,0.0814,0.1358
0.5735,0.2317,0.0661,0.1238
0.5898,0.2361,0.0512,0.1099
0.6061,0.2389,0.0382,0.0955
0.6224,0.244,0.0268,0.0809
0.6388,0.2451,0.0177,0.0659
0.6551,0.2473,0.0097,0.049
0.6714,0.2479,0.0048,0.0345
0.6878,0.2496,0.002,0.0223
0.7041,0.2501,0.0008,0.0141
0.7204,0.2501,0.0001,0.005
0.7367,0.2501,0.0,0.0
0.7531,0.2501,0.0,0.0
0.7694,0.2501,0.0,0.0
0.7857,0.2501,0.0,0.0
0.802,0.2501,0.0,0.0
0.8184,0.2501,0.0,0.0
0.8347,0.2501,0.0,0.0
0.851,0.2501,0.0,0.0
0.8673,0.2501,0.0,0.0
0.8837,0.2501,0.0,0.0
0.9,0.2501,0.0,0.0
